id,0me,host_id,host_0me,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month,calculated_host_listings_count,,last_review
25619,SoHo SoHo SoHo,159112181,Zachary And Ashley,Manhattan,SoHo,40.72683,-74.00222,Entire home/apt,275,1,1,308,1,1,,7/1/2019
25620,Newly renovated 1-bm apt with a wooden deck.,10162189,Adrian,Queens,Astoria,40.76802,-73.91815,Entire home/apt,180,4,45,351,1.32,1,,6/30/2019
25621,Sunny Modern Studio Apartment in Williamsburg,29393413,Pirro,Brooklyn,Williamsburg,40.71391,-73.94431,Entire home/apt,225,1,0,84,0,1,,0
25622,Cozy & Modern Chelsea Studio,141760353,Carlos,Manhattan,Chelsea,40.74526,-74.00605,Entire home/apt,269,1,4,122,4,1,,7/5/2019
25623,"Stunning, Renovated 2bed/1.5bath Apt in Prime LES!",268205314,Vanessa,Manhattan,Chi0town,40.71598,-73.99549,Entire home/apt,299,1,2,334,2,1,,6/28/2019
25624,"Serene Theater District 1BR, Doorman, Gym, Garden by Blueground",107434423,Blueground,Manhattan,Hell's Kitchen,40.76258,-73.98768,Entire home/apt,302,30,0,330,0,232,,0
25625,West Village Wonder -spacious 1 bed,10658486,Owen,Manhattan,West Village,40.73552,-74.00716,Entire home/apt,239,4,52,84,0.82,1,,6/26/2019
25626,Swimming Pool! 2 Bed 2 bath Amazing Layout!5143,16098958,Jeremy & Laura,Manhattan,Upper West Side,40.79371,-73.96708,Entire home/apt,295,30,2,250,0.06,96,,4/1/2018
25627,Sunny brownstone greenhouse in Bedford Stuyvesant,4967965,Allison,Brooklyn,Bedford-Stuyvesant,40.68263,-73.92264,Entire home/apt,350,3,42,275,2.23,1,,6/23/2019
25628,Artistic Loft w Fireplace & Manhattan Skyline,33655,Sruthi,Brooklyn,Columbia St,40.68388,-74.00484,Entire home/apt,210,2,11,120,1.24,2,,7/2/2019
25629,Cozy loft in Chelsea,40744019,Alex,Manhattan,Chelsea,40.74694,-73.99728,Entire home/apt,181,1,158,173,5.08,1,,6/23/2019
25630,Huge 2 Bedroom on Mercer St (Soho),162556385,Enrique,Manhattan,SoHo,40.72224,-73.99991,Entire home/apt,720,3,0,0,0,1,,0
25631,Prime SOHO Luxury penthouse Loft,62103724,Joe,Manhattan,NoHo,40.72569,-73.99519,Entire home/apt,399,3,51,336,1.76,1,,6/17/2019
25632,Loft,10035055,Claudine,Manhattan,Tribeca,40.72138,-74.00767,Entire home/apt,2500,4,0,89,0,1,,0
25633,Charming Studio,16083192,Alexander,Manhattan,Upper West Side,40.77907,-73.98684,Entire home/apt,208,3,0,150,0,1,,0
25634,"Stunning views! 3 separate bedrooms, L train Loft",3011406,Ellie,Brooklyn,Williamsburg,40.70608,-73.93154,Entire home/apt,220,3,151,115,1.86,1,,6/22/2019
25635,"Union Square, East Village Studio",109357781,Kayleigh,Manhattan,East Village,40.73237,-73.98495,Entire home/apt,225,7,1,153,0.16,1,,1/1/2019
25636,Charming one bedroom in brownstone,9520651,Vivian,Brooklyn,Gowanus,40.68323,-73.98643,Private room,200,2,0,365,0,1,,0
25637,Clean Cozy & Comfy Apartment In NYC!,41658748,Ben,Manhattan,Gramercy,40.73742,-73.98219,Entire home/apt,265,2,58,323,2.65,3,,6/9/2019
25638,Apartment in trendy Nolita,3644416,Kaaran,Manhattan,Nolita,40.72207,-73.99596,Entire home/apt,270,7,0,0,0,1,,0
25639,Lower Manhattan Luxury,51105827,Dax,Manhattan,Battery Park City,40.71192,-74.01572,Entire home/apt,225,90,1,362,0.02,1,,3/18/2016
25640,"Cheerful, Comfortable & Convenient",177233,Lisa,Manhattan,Upper West Side,40.79903,-73.96451,Entire home/apt,249,2,80,58,1.35,1,,7/6/2019
25641,Beautiful Chelsea Luxury Penthouse,57761801,Michael,Manhattan,Chelsea,40.7454,-74.00427,Entire home/apt,450,90,0,365,0,1,,0
25642,"7BR, 4 Full Bath Duplex with Washer & Dryer",210970608,Lucy,Brooklyn,Crown Heights,40.66996,-73.94836,Entire home/apt,530,3,8,249,0.9,5,,5/20/2019
25643,Artsy Studio / 1 Bedroom in the Heart of Chelsea,43311385,John,Manhattan,Chelsea,40.74921,-74.00416,Entire home/apt,275,3,1,0,0.03,1,,6/30/2016
25644,Lavish 1br apartment in New York's Upper East Side,30283594,Kara,Manhattan,Upper East Side,40.76288,-73.95828,Entire home/apt,269,30,0,333,0,121,,0
25645,"Clean, Spacious LES 1 Bdrm",35914632,Pete,Manhattan,Lower East Side,40.71905,-73.98487,Entire home/apt,250,2,2,0,0.04,1,,9/28/2015
25646,Luxury TriBeCa Apartment with Amazing Water View,4348719,Myles,Manhattan,SoHo,40.72461,-74.01136,Entire home/apt,250,2,2,130,0.06,1,,9/11/2016
25647,"HGV Club NY, NY",120599606,James,Manhattan,Midtown,40.76383,-73.97704,Private room,199,2,0,0,0,1,,0
25648,2br Duplex w/Roof Deck Close to Empire State Build,17982486,Cheri,Manhattan,Kips Bay,40.74205,-73.97997,Entire home/apt,250,30,13,274,0.25,1,,4/30/2018
25649,Midwood,104497453,Mark,Brooklyn,Midwood,40.62483,-73.97437,Private room,200,3,1,88,0.09,3,,7/29/2018
25650,"Spacious, well-lit, with modern decor apartment!",154842298,Jessica,Manhattan,East Village,40.7266,-73.984,Entire home/apt,195,3,2,0,0.11,1,,5/20/2018
25651,Bright & Spacious,34387513,Michael,Queens,Long Island City,40.7583,-73.9315,Private room,225,1,0,365,0,1,,0
25652,Deluxe 1-Bedroom near Empire State Building!,30283594,Kara,Manhattan,Midtown,40.75186,-73.97062,Entire home/apt,259,30,0,184,0,121,,0
25653,Huge Soho Loft,302885,Hattie Grace,Manhattan,SoHo,40.72381,-74.00183,Entire home/apt,403,4,4,0,0.45,3,,1/22/2019
25654,Classic 4 BR brownstone,30768511,Richard,Brooklyn,Park Slope,40.67616,-73.97418,Entire home/apt,275,5,1,0,0.03,1,,7/30/2016
25655,Two bedroom apartment in Williamsburg,1865198,Evelyne,Brooklyn,Williamsburg,40.71157,-73.95846,Entire home/apt,185,8,2,59,0.07,1,,5/22/2017
25656,Brand new Manhattan Apartment sleeps 7!,39921605,Rachel,Manhattan,Upper West Side,40.80328,-73.96898,Entire home/apt,238,30,14,91,0.31,5,,4/3/2019
25657,THE PONDEROSA PALACE,83921231,B,Manhattan,Hell's Kitchen,40.76152,-73.98758,Entire home/apt,235,2,49,283,3.7,1,,6/25/2019
25658,HUGE ARTSY DESIGNER APRT IN CHI0TOWN W/ ELEVATOR,7988008,Emily,Manhattan,Chi0town,40.71336,-73.99263,Entire home/apt,210,1,16,318,1.04,1,,5/4/2019
25659,Magical 3-bed/3-bath fabulous views,20233558,Ruth,Brooklyn,Greenpoint,40.73175,-73.95403,Entire home/apt,350,2,5,0,0.11,1,,6/22/2019
25660,LINCOLN CENTER / LUXURY 2BED 2BATH,131647128,Emily,Manhattan,Upper West Side,40.77396,-73.98925,Entire home/apt,260,30,3,274,0.45,25,,5/12/2019
25661,Cozy Spacious Loft Convenient to City,875439,Sami,Queens,Jackson Heights,40.74997,-73.87851,Entire home/apt,185,3,25,55,3.21,1,,7/2/2019
25662,Prospect Place by (Hidden by Airbnb),156158778,Sally,Brooklyn,Prospect Heights,40.67829,-73.96899,Entire home/apt,2103,1,0,20,0,12,,0
25663,"Comfy 4br, 2 full baths, 3 fls, 2 living rooms",1559494,Hill,Brooklyn,Williamsburg,40.71262,-73.95026,Entire home/apt,600,2,20,283,3.3,1,,6/23/2019
25664,"Spacious, Family-Friendly, UWS Duplex w/ Huge Yard",17845933,Amos Rothschild,Manhattan,Upper West Side,40.7889,-73.9729,Entire home/apt,300,5,3,9,0.08,1,,12/31/2018
25665,Upper East Side Manhattan #2,626876,Kimberly,Manhattan,Upper East Side,40.77941,-73.94862,Private room,250,1,0,0,0,3,,0
25666,Lower East Side Luxury,15047361,Brooke,Manhattan,Lower East Side,40.72046,-73.99237,Entire home/apt,400,3,0,0,0,1,,0
25667,Art gallery apartment in the center of Manhattan,50462097,Jirayus,Manhattan,Hell's Kitchen,40.76435,-73.9875,Entire home/apt,199,2,35,200,4.29,1,,7/5/2019
25668,"Cozy/Comfortable/Clean, 3 Bedroom/2 Bathroom",267849738,Oria0,Manhattan,Kips Bay,40.74293,-73.97923,Entire home/apt,600,2,0,267,0,1,,0
25669,Be a New Yorker for a few days,39461895,Shai,Manhattan,Nolita,40.72021,-73.99592,Entire home/apt,229,10,9,137,0.27,1,,5/26/2019
25670,Spend the Fall in NoLita!,3339901,Meghan,Manhattan,Nolita,40.72285,-73.99409,Entire home/apt,250,4,7,0,0.14,1,,10/21/2015
25671,Pretty Williamsburg Loft,169467786,Jovenne 0ldrey,Brooklyn,Williamsburg,40.71001,-73.96101,Entire home/apt,215,1,5,165,2.21,1,,6/26/2019
25672,Entire Floor of Sunny Brownstone,5515591,Ti0,Brooklyn,Clinton Hill,40.68699,-73.96049,Entire home/apt,188,3,146,135,2.93,2,,6/21/2019
25673,Dominiq's NY cosy 3bedrm crashpad*metro*wifi*$$ale,310670,Vie,Bronx,Eastchester,40.88017,-73.83484,Entire home/apt,250,1,15,357,1.08,13,,6/2/2019
25674,Luxury suite in the Heart of Hell's Kitchen,30145223,Alex,Manhattan,Hell's Kitchen,40.76646,-73.99132,Entire home/apt,269,4,26,49,2.6,1,,7/3/2019
25675,Nice and Cozy 2 bedrooms apartment near Manhattan,209569701,Beatriz,Queens,Long Island City,40.75464,-73.94107,Entire home/apt,190,4,7,255,2.56,1,,6/13/2019
25676,Large One Bedroom near Union square,5838331,Katie,Manhattan,Gramercy,40.73549,-73.98311,Entire home/apt,249,1,0,0,0,1,,0
25677,Sunny Apartment in West Village,800720,Seb,Manhattan,West Village,40.73187,-74.00865,Entire home/apt,1000,3,0,0,0,1,,0
25678,Spacious 1 BR Near Central Park!,32096696,Matt,Manhattan,Upper West Side,40.77901,-73.97596,Entire home/apt,220,1,4,0,0.08,1,,1/3/2016
25679,-Deluxe Furnished 1 Bedroom Apartment in Midtown,30283594,Kara,Manhattan,Theater District,40.75856,-73.98221,Entire home/apt,239,30,0,363,0,121,,0
25680,Beautiful 2 Bedrooms in upper East #5,1786901,Shai,Manhattan,Upper East Side,40.78345,-73.94751,Entire home/apt,200,3,0,29,0,9,,0
25681,MANHATTAN SUPERBOWL ACCOMODATION,11668649,Andrew,Manhattan,Upper East Side,40.76904,-73.95435,Entire home/apt,1600,1,0,0,0,1,,0
25682,Sonder | 180 Water | Stunning 1BR + Rooftop,12243051,Sonder,Manhattan,Fi0ncial District,40.70656,-74.00499,Entire home/apt,215,29,0,343,0,96,,0
25683,Best Neighborhood Brand New 1 BDRM!,9408069,Maky,Manhattan,Lower East Side,40.72082,-73.98728,Entire home/apt,180,1,130,328,2.98,1,,6/3/2019
25684,Studio w Laundry Minutes from Major Attractions ☆,218335154,Nelson,Manhattan,Midtown,40.74335,-73.98287,Entire home/apt,250,1,3,360,3,2,,7/1/2019
25685,Huge & Cozy Studio in the Upper East Side,51366012,Sabri0,Manhattan,Upper East Side,40.76044,-73.96097,Entire home/apt,189,2,3,29,2.43,1,,7/1/2019
25686,Fantastic 2 Bedroom Apartment,258599553,Matt,Manhattan,Kips Bay,40.7432,-73.97703,Entire home/apt,190,1,4,144,2.14,1,,6/17/2019
25687,Comfortable Bedroom Astoria,53518745,Fiach,Queens,Astoria,40.76171,-73.91725,Private room,300,3,2,54,0.32,1,,5/12/2019
25688,"Luxurious Penthouse 3bed/2bath Apt w/Gym, Doorman",232596712,Jessica,Manhattan,Upper West Side,40.77731,-73.97954,Entire home/apt,583,30,1,334,1,6,,6/24/2019
25689,Entire Loft with a bedroom and walk-in closet,14276413,Sedef,Brooklyn,Bedford-Stuyvesant,40.69066,-73.95922,Entire home/apt,300,2,2,0,0.3,1,,1/1/2019
25690,"BEAUTIFUL APARTMENT, GREAT LOCATION",991380,Stefania,Brooklyn,Boerum Hill,40.68653,-73.98562,Entire home/apt,230,4,18,0,0.21,1,,7/5/2018
25691,"Open Midtown West 1BR w/ roomy sundeck, gym, near Times Sq by Blueground",107434423,Blueground,Manhattan,Theater District,40.7609,-73.98594,Entire home/apt,240,30,0,189,0,232,,0
25692,Modern Gramercy Park/NoMad Flat near Union Square,9581668,Kirk,Manhattan,Kips Bay,40.73882,-73.98291,Entire home/apt,219,1,18,292,4.46,1,,7/2/2019
25693,"Room at  Artist  Apt in Wburg, BK",117399779,Cacho,Brooklyn,Williamsburg,40.71304,-73.96497,Private room,200,3,5,0,0.18,1,,10/8/2017
25694,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73693,-73.95284,Entire home/apt,199,3,33,60,0.47,28,,6/24/2019
25695,Gorgeous Studio in Greenwich Village,29034854,Vivia0,Manhattan,Greenwich Village,40.72918,-73.99882,Entire home/apt,200,7,1,23,0.03,1,,8/1/2016
25696,one Bed in room,104475208,Алексей,Brooklyn,Kensington,40.63285,-73.97483,Shared room,250,3,0,365,0,1,,0
25697,"Luxury, Sunny, Comfy, Gorgeous views, Central Park",28191131,Al,Manhattan,Upper East Side,40.76451,-73.96249,Entire home/apt,890,3,0,0,0,1,,0
25698,Beautifully Decorated Entire Floor of Brownstone,965946,Sunil,Brooklyn,Park Slope,40.67271,-73.97663,Entire home/apt,200,5,1,31,1,1,,6/30/2019
25699,Quaint 2 Bedroom Apt in LES (6 ppl),11068351,Bobby,Manhattan,Little Italy,40.71924,-73.99719,Entire home/apt,249,1,0,0,0,1,,0
25700,Upper East Chic 1BR Apartment Near Central Park,65498336,Song,Manhattan,East Harlem,40.78918,-73.94787,Entire home/apt,199,1,41,228,5.37,1,,6/25/2019
25701,"The GEORGE at Lincoln Center: Duplex, UWS/Times Sq",200829464,Chrisann,Manhattan,Upper West Side,40.77425,-73.98122,Entire home/apt,299,3,33,96,2.97,1,,7/5/2019
25702,FAMILY FRIENDLY 3BR DUPLEX,5610823,(Email hidden by Airbnb),Brooklyn,Clinton Hill,40.68274,-73.96367,Entire home/apt,261,1,5,0,0.14,1,,8/23/2016
25703,Lincoln Center Apartment,26104727,Ambika,Manhattan,Upper West Side,40.77137,-73.98321,Entire home/apt,180,1,0,0,0,1,,0
25704,Charming UES PreWar 24/7 Doorman 2 bed/2 bath apt,1025745,Meredith,Manhattan,Upper East Side,40.78271,-73.95288,Entire home/apt,595,2,30,332,0.63,1,,6/19/2019
25705,"Stunning Chelsea 1BR w/ Doorman, Roofdeck, BBQs & Lounge by Blueground",107434423,Blueground,Manhattan,Chelsea,40.74269,-73.99911,Entire home/apt,316,30,0,323,0,232,,0
25706,Summer Luxury in Harlem !!!,66711742,Jared,Manhattan,Harlem,40.80978,-73.94408,Shared room,235,14,8,21,0.7,1,,7/6/2019
25707,BELLA CASA large Studio - 5 mins to Times Square!!,16480700,Eddie&Vlad,Manhattan,Upper East Side,40.76451,-73.96744,Entire home/apt,249,1,37,352,3.04,7,,6/7/2019
25708,AWESOME PRIVATE FAMILY HOUSE  CLOSE TO MANHATTAN,155989291,Ahmed,Queens,Coro0,40.74725,-73.85486,Entire home/apt,359,3,10,281,0.66,1,,6/9/2019
25709,"Mod Tribeca Studio w/ Tons of light, Gym, Pool by Blueground",107434423,Blueground,Manhattan,Tribeca,40.71508,-74.00628,Entire home/apt,274,30,0,194,0,232,,0
25710,Cozy Studio - Upper East,15310997,Mor,Manhattan,Upper East Side,40.78278,-73.9482,Entire home/apt,250,30,4,311,0.07,9,,5/15/2018
25711,Prime Location NYC 2 Bedrooms,238136541,Max,Manhattan,Murray Hill,40.74797,-73.98271,Entire home/apt,345,30,6,154,1.13,1,,5/4/2019
25712,Sunny 3 bedroom LES apartment,50772475,Megan,Manhattan,Lower East Side,40.7201,-73.98984,Entire home/apt,300,3,1,0,0.02,1,,12/13/2015
25713,Luxury 1-Bedroom Fi0ncial District Apartment!,30283594,Kara,Manhattan,Fi0ncial District,40.70726,-74.01429,Entire home/apt,229,30,0,184,0,121,,0
25714,"Charming Central 1- Bedroom Apartment, Gramercy",28450419,Jen0,Manhattan,Gramercy,40.73794,-73.98423,Entire home/apt,200,10,4,48,0.15,1,,1/2/2019
25715,Wyndham Midtown 45 (1 Bedroom Presidential) 1A,100238132,Michael,Manhattan,Midtown,40.75293,-73.97315,Entire home/apt,269,3,5,0,0.38,12,,1/1/2019
25716,Williamsburg Railroad Apartment,12313907,William,Brooklyn,Williamsburg,40.72027,-73.9588,Entire home/apt,200,3,5,163,3.57,1,,6/23/2019
25717,"2 Beds apt, walk to Central Park and time square",215786346,Mari0,Manhattan,Upper East Side,40.76544,-73.9585,Entire home/apt,380,3,4,156,0.51,1,,6/24/2019
25718,Sophisticated Brooklyn Brownstone,87766324,Michelle,Brooklyn,Bedford-Stuyvesant,40.68707,-73.9349,Entire home/apt,196,2,88,9,3.32,2,,6/15/2019
25719,La Dolce Vita Apartment in Garfield,86513733,Joann,Bronx,Van Nest,40.84166,-73.86818,Entire home/apt,425,5,0,363,0,1,,0
25720,Cozy apartment 9mts to Barclays Center/ProspecPark,199147185,Lou,Brooklyn,Sunset Park,40.66291,-73.995,Entire home/apt,330,1,34,147,2.83,5,,6/11/2019
25721,1 Bdrm PRESIDENTIAL RESERVE at Wyndham Midtown 45,69545883,Chayla,Manhattan,Midtown,40.75162,-73.9732,Private room,649,3,1,365,0.03,12,,12/9/2016
25722,*NO GUEST SERVICE FEE* Beekman Tower Premium Studio Suite,205031545,Red Awning,Manhattan,Midtown,40.75414,-73.96595,Entire home/apt,699,3,3,204,0.5,49,,3/3/2019
25723,Beautiful 2-br Apt in the Heart of Williamsburg,1678861,Efrat,Brooklyn,Greenpoint,40.72016,-73.95462,Entire home/apt,275,2,3,0,0.22,1,,9/3/2018
25724,"Nice 3Beds/2bedroom Apartment, 5min TIME SQUARE.",41124793,Gary,Manhattan,Hell's Kitchen,40.76515,-73.98586,Entire home/apt,389,1,1,0,1,1,,6/19/2019
25725,Super large 2 bed 2 Bath with balcony and POOL,113805886,Yaacov,Manhattan,Upper East Side,40.77694,-73.94994,Entire home/apt,250,31,1,365,0.25,33,,3/13/2019
25726,Charming Harlem Townhouse Minutes from Midtown,26502234,George,Manhattan,Harlem,40.82316,-73.94478,Entire home/apt,195,7,28,285,0.92,1,,6/23/2019
25727,Kan house,183417610,Kancha0,Queens,Elmhurst,40.73841,-73.87751,Private room,180,1,0,0,0,3,,0
25728,Massive 4 bed 3 bath Loft in SoHo/Little Italy,189961241,Danny,Manhattan,Little Italy,40.71839,-73.99834,Entire home/apt,699,3,37,170,2.92,1,,6/28/2019
25729,East Village House -- Unique!,272730,Goldi,Manhattan,East Village,40.72956,-73.97903,Entire home/apt,250,1,60,0,0.65,1,,7/1/2019
25730,Spend Thanksgiving in New York City,157834976,Jessica,Manhattan,Midtown,40.75152,-73.97313,Private room,750,4,0,193,0,1,,0
25731,Iconic Apartment in Times Square Steps to Broadway,143555138,Valdo,Manhattan,Hell's Kitchen,40.76131,-73.99362,Entire home/apt,185,1,85,172,4.08,1,,7/2/2019
25732,2 BR/2.5 BTH W/ 12 FT. CEILINGS NEAR CENTRAL PARK!,140823633,Clement,Manhattan,Midtown,40.76208,-73.97172,Entire home/apt,750,2,4,263,2.22,1,,7/3/2019
25733,Artist's Loft - South Park Slope,4629474,Jo0than,Brooklyn,Sunset Park,40.66162,-73.99122,Entire home/apt,179,3,0,0,0,1,,0
25734,Apt with Modern Lights Available,11293255,Abdul Fattah,Brooklyn,Bedford-Stuyvesant,40.68789,-73.9575,Private room,215,3,3,0,0.1,1,,9/24/2017
25735,Steps to Times Square Modern Apt ♥,260805765,Paul,Manhattan,Hell's Kitchen,40.75882,-73.9903,Shared room,400,2,0,166,0,1,,0
25736,Beautiful Modern Lower East Side Apartment!,9152003,Katie,Manhattan,Lower East Side,40.72176,-73.99218,Entire home/apt,199,2,18,16,2.92,1,,7/6/2019
25737,SUPER COZY 2 BEDS IN BEST PART OF CHELSEA!!,91268177,Beatriz,Manhattan,Chelsea,40.7448,-74.00761,Entire home/apt,299,3,0,220,0,4,,0
25738,Modern one bedroom in Fi0ncial District,6254791,Maite,Manhattan,Fi0ncial District,40.70884,-74.00822,Entire home/apt,299,2,2,0,0.2,1,,9/23/2018
25739,Beautiful 1 bedroom in prime Chelsea,104286680,Dima,Manhattan,Chelsea,40.75003,-73.99589,Entire home/apt,250,14,1,88,0.09,1,,8/11/2018
25740,★ Discounted!!★ NEAR TIMES SQUARE,229603136,Pinki,Manhattan,Hell's Kitchen,40.76368,-73.98881,Entire home/apt,239,2,6,335,3.46,1,,6/16/2019
25741,Large 2BED UN Location Full Kitchen Free Breakfast,214347105,Roman,Manhattan,Midtown,40.75283,-73.96736,Entire home/apt,370,3,9,316,0.96,8,,5/15/2019
25742,Bright Spacious Greenpoint Duplex,13859261,Milosz,Brooklyn,Greenpoint,40.73159,-73.95713,Entire home/apt,181,1,35,37,4.12,1,,6/13/2019
25743,Spacious 2 Bedroom with Balcony,16110448,Gingie,Manhattan,East Harlem,40.79658,-73.93287,Entire home/apt,199,2,30,30,0.8,1,,6/3/2019
25744,Manhattan Penthouse 1 Bdrm Apt,2905589,Phong,Manhattan,Midtown,40.74645,-73.9853,Entire home/apt,239,4,4,0,0.09,1,,10/26/2015
25745,Beautiful Upper East Side Apt!,50593964,Laura,Manhattan,Upper East Side,40.77641,-73.95505,Entire home/apt,199,4,1,0,0.02,1,,1/3/2016
25746,Stylish 1 Bdr. Apt. on Upper East,5338040,Jackie,Manhattan,Upper East Side,40.77372,-73.94803,Private room,185,5,7,341,0.15,1,,10/28/2016
25747,Sonder | Stock Exchange | Chic 1BR + Kitchen,219517861,Sonder (NYC),Manhattan,Fi0ncial District,40.70762,-74.01105,Entire home/apt,223,2,3,310,0.74,327,,6/1/2019
25748,Modern Living in Soho/Noho/West Village,19433714,Jeff,Manhattan,Greenwich Village,40.72674,-73.99673,Entire home/apt,200,3,6,21,0.55,3,,7/1/2019
25749,Spacious Studio in Hamilton Heights,81671685,Lesley,Manhattan,Harlem,40.81906,-73.95654,Entire home/apt,200,1,4,365,0.15,1,,6/24/2019
25750,Central Park South 2 Bedroom 1 Bathroom,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.76552,-73.97661,Entire home/apt,199,29,2,148,0.07,31,,10/5/2018
25751,Spacious East Village Apartment,511175,Luis,Manhattan,East Village,40.7241,-73.97899,Entire home/apt,180,7,24,125,0.26,2,,8/10/2018
25752,Huge luxury 1BR apt near Central Park South(4 ppl),1362808,Max,Manhattan,Upper East Side,40.76373,-73.96897,Entire home/apt,300,3,5,27,0.08,1,,12/31/2018
25753,Charming 1BR Apartment in Soho / Nolita,75575414,Michael,Manhattan,Nolita,40.72198,-73.99451,Entire home/apt,245,5,0,0,0,1,,0
25754,Sonder | Stock Exchange | Stunning 3BR + Laundry,219517861,Sonder (NYC),Manhattan,Fi0ncial District,40.70711,-74.01044,Entire home/apt,470,2,4,242,2.5,327,,6/14/2019
25755,WEST VILLAGE Bohemian flat in neo-Tudor town house,27636707,Gaia&Pietro,Manhattan,West Village,40.73326,-74.00511,Entire home/apt,250,3,5,255,2.24,5,,7/2/2019
25756,Charming Upper West Side Apartment,43219894,Lauren,Manhattan,Upper West Side,40.78322,-73.97435,Entire home/apt,180,1,2,0,0.04,1,,11/27/2016
25757,MINIMALISTIC APARTMENT/DECK IN HISTORIC BROWNSTONE,159587137,Wene,Brooklyn,Clinton Hill,40.69087,-73.96639,Entire home/apt,280,3,1,343,0.44,2,,5/3/2019
25758,Super Cute Family Friendly Cozy Loft Suite For 2-4,857599,Stephen,Manhattan,Tribeca,40.71838,-74.00495,Entire home/apt,320,3,1,93,0.09,1,,7/31/2018
25759,Central & Comfy East Village Studio,225620034,Jared & Rachel,Manhattan,East Village,40.73011,-73.98405,Entire home/apt,189,1,13,338,3.07,1,,7/2/2019
25760,2 Bedroom Apt in downtown Brooklyn,25073318,Brook,Brooklyn,Fort Greene,40.69203,-73.97088,Entire home/apt,250,4,0,0,0,1,,0
25761,Lovely Single Family House in South Slope,16108191,David,Brooklyn,South Slope,40.66488,-73.98725,Entire home/apt,225,4,2,0,0.11,1,,12/30/2018
25762,"Bright FiDi 1BR w/ Luxury gym, Doorman, + Rooftop by Blueground",107434423,Blueground,Manhattan,Fi0ncial District,40.70511,-74.00722,Entire home/apt,285,30,0,339,0,232,,0
25763,Smart 3BR in Trendy Astoria - 8 min to N/W Subway,59959974,Russell,Queens,Astoria,40.7726,-73.92298,Entire home/apt,180,4,41,120,2.22,1,,7/5/2019
25764,LUXIRIOUS ONE BEDROOM MIDTWON WEST,243288727,Matt,Manhattan,Hell's Kitchen,40.76896,-73.98908,Entire home/apt,190,30,0,348,0,7,,0
25765,Central Park West Private Room,26910600,Rachel,Manhattan,Upper West Side,40.79179,-73.96623,Private room,500,1,1,90,0.49,1,,5/9/2019
25766,4 Bedroom Townhouse near Prospect Park w/Garden,193717499,Amy,Brooklyn,Windsor Terrace,40.64919,-73.9731,Entire home/apt,375,7,1,8,0.08,1,,7/21/2018
25767,Large Studio in the HEART OF MANHATTAN,141011662,Tim,Manhattan,Hell's Kitchen,40.75856,-73.99057,Entire home/apt,176,3,0,0,0,1,,0
25768,Celebrity Designer Pied A Terre,220962399,Julien,Manhattan,Upper East Side,40.76408,-73.95686,Entire home/apt,250,1,12,323,1.41,1,,7/2/2019
25769,TOWNHOUSE CHARME IN CITY~EAST 59th STUDIO,2856748,Ruchi,Manhattan,Midtown,40.7591,-73.96334,Entire home/apt,180,30,1,364,0.03,49,,6/2/2016
25770,beautiful modern 1 bed room apt,210505783,Alex,Manhattan,Chelsea,40.74813,-74.00478,Private room,300,2,4,0,0.45,1,,5/28/2019
25771,Tribeca Studio w/ Gym + Pool by Blueground,107434423,Blueground,Manhattan,Tribeca,40.71543,-74.00647,Entire home/apt,282,30,0,302,0,232,,0
25772,Big and lovely apartment in Sunnyside NYC,58234433,Martin,Queens,Sunnyside,40.73707,-73.91867,Entire home/apt,261,1,14,240,1.47,8,,6/23/2019
25773,Charming 2 Bedroom Brownstone Apartment,237668552,Kim,Brooklyn,Cobble Hill,40.68525,-73.99837,Entire home/apt,200,2,4,22,1.38,2,,7/7/2019
25774,"AMAZING, UNIQUE, ONE OF A KIND VILLAGE APARTMENT!",234357462,Mari0,Manhattan,West Village,40.73245,-74.00355,Entire home/apt,225,2,11,280,2.21,1,,7/6/2019
25775,Bright Loft in Heart of Williamsbug,1999466,Robin,Brooklyn,Williamsburg,40.71432,-73.94615,Entire home/apt,220,2,25,5,0.65,1,,1/1/2019
25776,Your Historic House in Brooklyn,1680375,Marc,Brooklyn,Flatbush,40.63593,-73.96076,Entire home/apt,500,4,9,0,0.11,1,,1/2/2017
25777,"Art-Packed, One-Of-A-Kind Triplex",10264377,Anthony,Manhattan,East Village,40.73101,-73.98936,Entire home/apt,245,2,3,0,0.07,1,,12/22/2015
25778,BIG BROOKLYN HOUSE TO LOVE,9053876,Amy,Brooklyn,Crown Heights,40.6776,-73.93504,Entire home/apt,220,7,18,156,0.27,2,,6/30/2019
25779,luxury 1 BedRoom Apt Hells Kitchen,2108853,Jasen,Manhattan,Hell's Kitchen,40.7559,-73.99469,Entire home/apt,325,30,18,364,0.21,1,,5/21/2016
25780,3-Bed Brownstone on Beautiful Block,1873589,Jill,Brooklyn,Crown Heights,40.67071,-73.94752,Entire home/apt,250,5,25,220,0.35,1,,1/2/2019
25781,Charming 1-bed apt w/ private deck,4031222,Romain,Manhattan,Upper West Side,40.77431,-73.97883,Entire home/apt,185,5,14,4,0.38,1,,4/21/2019
25782,Newly renovated 1 bedroom apartment,3311124,Georgie,Manhattan,East Village,40.73172,-73.98874,Entire home/apt,220,2,0,0,0,1,,0
